Haplotype_1	Haplotype_2
FUN.rk.hap1.011668	FUN.rk.hap2.012294
FUN.rk.hap1.011670	FUN.rk.hap2.012296
FUN.rk.hap1.011672	FUN.rk.hap2.012297
FUN.rk.hap1.011673	FUN.rk.hap2.012298
FUN.rk.hap1.011674	FUN.rk.hap2.012299
FUN.rk.hap1.011675	FUN.rk.hap2.012300
FUN.rk.hap1.011679	FUN.rk.hap2.012303
FUN.rk.hap1.011680	FUN.rk.hap2.012304
FUN.rk.hap1.011681	FUN.rk.hap2.012305
FUN.rk.hap1.011682	FUN.rk.hap2.012306
FUN.rk.hap1.011683	FUN.rk.hap2.012307
FUN.rk.hap1.011684	FUN.rk.hap2.012308
FUN.rk.hap1.011685	FUN.rk.hap2.012309
FUN.rk.hap1.011686	FUN.rk.hap2.012310
FUN.rk.hap1.011687	FUN.rk.hap2.012311
FUN.rk.hap1.011688	FUN.rk.hap2.012312
FUN.rk.hap1.011689	FUN.rk.hap2.012313
FUN.rk.hap1.011690	FUN.rk.hap2.012315
FUN.rk.hap1.011691	FUN.rk.hap2.012316
FUN.rk.hap1.011692	FUN.rk.hap2.012318
FUN.rk.hap1.011693	FUN.rk.hap2.012319
FUN.rk.hap1.011694	FUN.rk.hap2.012320
FUN.rk.hap1.011695	FUN.rk.hap2.012321
FUN.rk.hap1.011696	FUN.rk.hap2.012322
FUN.rk.hap1.011697	FUN.rk.hap2.012323
FUN.rk.hap1.011698	FUN.rk.hap2.012324
FUN.rk.hap1.011699	FUN.rk.hap2.012325
FUN.rk.hap1.011700	FUN.rk.hap2.012326
FUN.rk.hap1.011701	FUN.rk.hap2.012327
FUN.rk.hap1.011702	FUN.rk.hap2.012328
FUN.rk.hap1.011706	FUN.rk.hap2.012330
FUN.rk.hap1.011707	FUN.rk.hap2.012331
FUN.rk.hap1.011708	FUN.rk.hap2.012332
FUN.rk.hap1.011711	FUN.rk.hap2.012335
FUN.rk.hap1.011712	FUN.rk.hap2.012336
FUN.rk.hap1.011713	FUN.rk.hap2.012337
FUN.rk.hap1.011716	FUN.rk.hap2.012340
FUN.rk.hap1.011717	FUN.rk.hap2.012341
FUN.rk.hap1.011719	FUN.rk.hap2.012343
FUN.rk.hap1.011720	FUN.rk.hap2.012344
FUN.rk.hap1.011721	FUN.rk.hap2.012345
FUN.rk.hap1.011722	FUN.rk.hap2.012346
FUN.rk.hap1.011724	FUN.rk.hap2.012349
FUN.rk.hap1.011725	FUN.rk.hap2.012350
FUN.rk.hap1.011728	FUN.rk.hap2.012355
FUN.rk.hap1.011729	FUN.rk.hap2.012356
FUN.rk.hap1.011732	FUN.rk.hap2.012360
FUN.rk.hap1.011734	FUN.rk.hap2.012362
FUN.rk.hap1.011735	FUN.rk.hap2.012363
FUN.rk.hap1.011738	FUN.rk.hap2.012364
FUN.rk.hap1.011741	FUN.rk.hap2.012367
FUN.rk.hap1.011742	FUN.rk.hap2.012368
FUN.rk.hap1.011744	FUN.rk.hap2.012369
FUN.rk.hap1.011745	FUN.rk.hap2.012370
FUN.rk.hap1.011748	FUN.rk.hap2.012373
FUN.rk.hap1.011750	FUN.rk.hap2.012375
FUN.rk.hap1.011753	FUN.rk.hap2.012376
FUN.rk.hap1.011754	FUN.rk.hap2.012377
FUN.rk.hap1.011757	FUN.rk.hap2.012381
FUN.rk.hap1.011758	FUN.rk.hap2.012382
FUN.rk.hap1.011760	FUN.rk.hap2.012384
FUN.rk.hap1.011761	FUN.rk.hap2.012385
FUN.rk.hap1.011762	FUN.rk.hap2.012386
FUN.rk.hap1.011763	FUN.rk.hap2.012387
FUN.rk.hap1.011764	FUN.rk.hap2.012388
FUN.rk.hap1.011766	FUN.rk.hap2.012389
FUN.rk.hap1.011772	FUN.rk.hap2.012393
FUN.rk.hap1.011773	FUN.rk.hap2.012394
FUN.rk.hap1.011774	FUN.rk.hap2.012395
FUN.rk.hap1.011775	FUN.rk.hap2.012396
FUN.rk.hap1.011776	FUN.rk.hap2.012397
FUN.rk.hap1.011777	FUN.rk.hap2.012398
FUN.rk.hap1.011786	FUN.rk.hap2.012410
FUN.rk.hap1.011787	FUN.rk.hap2.012411
FUN.rk.hap1.011788	FUN.rk.hap2.012412
FUN.rk.hap1.011789	FUN.rk.hap2.012414
FUN.rk.hap1.011790	FUN.rk.hap2.012415
FUN.rk.hap1.011791	FUN.rk.hap2.012416
FUN.rk.hap1.011792	FUN.rk.hap2.012418
FUN.rk.hap1.011794	FUN.rk.hap2.012420
FUN.rk.hap1.011795	FUN.rk.hap2.012421
FUN.rk.hap1.011796	FUN.rk.hap2.012422
FUN.rk.hap1.011797	FUN.rk.hap2.012424
FUN.rk.hap1.011802	FUN.rk.hap2.012428
FUN.rk.hap1.011803	FUN.rk.hap2.032759
FUN.rk.hap1.011805	FUN.rk.hap2.012430
FUN.rk.hap1.011807	FUN.rk.hap2.012431
FUN.rk.hap1.011809	FUN.rk.hap2.014130
FUN.rk.hap1.011816	FUN.rk.hap2.012433
FUN.rk.hap1.011817	FUN.rk.hap2.012434
FUN.rk.hap1.011819	FUN.rk.hap2.012435
FUN.rk.hap1.011823	FUN.rk.hap2.012440
FUN.rk.hap1.011825	FUN.rk.hap2.012441
FUN.rk.hap1.011826	FUN.rk.hap2.012442
FUN.rk.hap1.011830	FUN.rk.hap2.012445
FUN.rk.hap1.011835	FUN.rk.hap2.012451
FUN.rk.hap1.011836	FUN.rk.hap2.012452
FUN.rk.hap1.011837	FUN.rk.hap2.012453
FUN.rk.hap1.011838	FUN.rk.hap2.012454
FUN.rk.hap1.011839	FUN.rk.hap2.012455
FUN.rk.hap1.011840	FUN.rk.hap2.012457
FUN.rk.hap1.011841	FUN.rk.hap2.012460
FUN.rk.hap1.011842	FUN.rk.hap2.012463
FUN.rk.hap1.011843	FUN.rk.hap2.012464
FUN.rk.hap1.011844	FUN.rk.hap2.012465
FUN.rk.hap1.011845	FUN.rk.hap2.012466
FUN.rk.hap1.011846	FUN.rk.hap2.012467
FUN.rk.hap1.011847	FUN.rk.hap2.012468
FUN.rk.hap1.011848	FUN.rk.hap2.012469
FUN.rk.hap1.011849	FUN.rk.hap2.012470
FUN.rk.hap1.011854	FUN.rk.hap2.012477
FUN.rk.hap1.011855	FUN.rk.hap2.012478
FUN.rk.hap1.011859	FUN.rk.hap2.012482
FUN.rk.hap1.011860	FUN.rk.hap2.012483
FUN.rk.hap1.011861	FUN.rk.hap2.012484
FUN.rk.hap1.011863	FUN.rk.hap2.012487
FUN.rk.hap1.011864	FUN.rk.hap2.012488
FUN.rk.hap1.011865	FUN.rk.hap2.012489
FUN.rk.hap1.011866	FUN.rk.hap2.012490
FUN.rk.hap1.011870	FUN.rk.hap2.012492
FUN.rk.hap1.011871	FUN.rk.hap2.012495
FUN.rk.hap1.011872	FUN.rk.hap2.012500
FUN.rk.hap1.011873	FUN.rk.hap2.012501
FUN.rk.hap1.011874	FUN.rk.hap2.012502
FUN.rk.hap1.011875	FUN.rk.hap2.012503
FUN.rk.hap1.011876	FUN.rk.hap2.012504
FUN.rk.hap1.011879	FUN.rk.hap2.012506
FUN.rk.hap1.011882	FUN.rk.hap2.012508
FUN.rk.hap1.011883	FUN.rk.hap2.012509
FUN.rk.hap1.011884	FUN.rk.hap2.012510
FUN.rk.hap1.011886	FUN.rk.hap2.012511
FUN.rk.hap1.011887	FUN.rk.hap2.012512
FUN.rk.hap1.011888	FUN.rk.hap2.012513
FUN.rk.hap1.011894	FUN.rk.hap2.012518
FUN.rk.hap1.011895	FUN.rk.hap2.012519
FUN.rk.hap1.011896	FUN.rk.hap2.012522
FUN.rk.hap1.011897	FUN.rk.hap2.012523
FUN.rk.hap1.011899	FUN.rk.hap2.012525
FUN.rk.hap1.011901	FUN.rk.hap2.012526
FUN.rk.hap1.011902	FUN.rk.hap2.012527
FUN.rk.hap1.011903	FUN.rk.hap2.012528
FUN.rk.hap1.011904	FUN.rk.hap2.012529
FUN.rk.hap1.011907	FUN.rk.hap2.012532
FUN.rk.hap1.011908	FUN.rk.hap2.012533
FUN.rk.hap1.011909	FUN.rk.hap2.012535
FUN.rk.hap1.011910	FUN.rk.hap2.012536
FUN.rk.hap1.011912	FUN.rk.hap2.012537
FUN.rk.hap1.011913	FUN.rk.hap2.012538
FUN.rk.hap1.011915	FUN.rk.hap2.012540
FUN.rk.hap1.011916	FUN.rk.hap2.012541
FUN.rk.hap1.011917	FUN.rk.hap2.012542
FUN.rk.hap1.011919	FUN.rk.hap2.012543
FUN.rk.hap1.011926	FUN.rk.hap2.012546
FUN.rk.hap1.011927	FUN.rk.hap2.012547
FUN.rk.hap1.011928	FUN.rk.hap2.012549
FUN.rk.hap1.011929	FUN.rk.hap2.012550
FUN.rk.hap1.011931	FUN.rk.hap2.012553
FUN.rk.hap1.011932	FUN.rk.hap2.012554
FUN.rk.hap1.011933	FUN.rk.hap2.012555
FUN.rk.hap1.011934	FUN.rk.hap2.012557
FUN.rk.hap1.011935	FUN.rk.hap2.012558
FUN.rk.hap1.011936	FUN.rk.hap2.012559
FUN.rk.hap1.011937	FUN.rk.hap2.012560
FUN.rk.hap1.011939	FUN.rk.hap2.012561
FUN.rk.hap1.011940	FUN.rk.hap2.012562
FUN.rk.hap1.011941	FUN.rk.hap2.012564
FUN.rk.hap1.011942	FUN.rk.hap2.012565
FUN.rk.hap1.011943	FUN.rk.hap2.012566
FUN.rk.hap1.011946	FUN.rk.hap2.012567
FUN.rk.hap1.011949	FUN.rk.hap2.012570
FUN.rk.hap1.011951	FUN.rk.hap2.012573
FUN.rk.hap1.011955	FUN.rk.hap2.012578
FUN.rk.hap1.011956	FUN.rk.hap2.012582
FUN.rk.hap1.011958	FUN.rk.hap2.012584
FUN.rk.hap1.011959	FUN.rk.hap2.041296
FUN.rk.hap1.011961	FUN.rk.hap2.012585
FUN.rk.hap1.011964	FUN.rk.hap2.012598
FUN.rk.hap1.011965	FUN.rk.hap2.012599
FUN.rk.hap1.011966	FUN.rk.hap2.012600
FUN.rk.hap1.011968	FUN.rk.hap2.012602
FUN.rk.hap1.011969	FUN.rk.hap2.012604
FUN.rk.hap1.011970	FUN.rk.hap2.012606
FUN.rk.hap1.011971	FUN.rk.hap2.012607
FUN.rk.hap1.011972	FUN.rk.hap2.012608
FUN.rk.hap1.011974	FUN.rk.hap2.012609
FUN.rk.hap1.011979	FUN.rk.hap2.012612
FUN.rk.hap1.011981	FUN.rk.hap2.012613
FUN.rk.hap1.011982	FUN.rk.hap2.012614
FUN.rk.hap1.011983	FUN.rk.hap2.012615
FUN.rk.hap1.011984	FUN.rk.hap2.012616
FUN.rk.hap1.011985	FUN.rk.hap2.012617
FUN.rk.hap1.011986	FUN.rk.hap2.012618
FUN.rk.hap1.011987	FUN.rk.hap2.012619
FUN.rk.hap1.011988	FUN.rk.hap2.012620
FUN.rk.hap1.011990	FUN.rk.hap2.012622
FUN.rk.hap1.012001	FUN.rk.hap2.012624
FUN.rk.hap1.012002	FUN.rk.hap2.012625
FUN.rk.hap1.012009	FUN.rk.hap2.012629
FUN.rk.hap1.012010	FUN.rk.hap2.012628
FUN.rk.hap1.012012	FUN.rk.hap2.012631
FUN.rk.hap1.012016	FUN.rk.hap2.012635
FUN.rk.hap1.012017	FUN.rk.hap2.012636
FUN.rk.hap1.012018	FUN.rk.hap2.012637
FUN.rk.hap1.012020	FUN.rk.hap2.012638
FUN.rk.hap1.012021	FUN.rk.hap2.012639
FUN.rk.hap1.012022	FUN.rk.hap2.012640
FUN.rk.hap1.012024	FUN.rk.hap2.012643
FUN.rk.hap1.012025	FUN.rk.hap2.012644
FUN.rk.hap1.012026	FUN.rk.hap2.012645
FUN.rk.hap1.012027	FUN.rk.hap2.012646
FUN.rk.hap1.012030	FUN.rk.hap2.012649
FUN.rk.hap1.012031	FUN.rk.hap2.012650
FUN.rk.hap1.012035	FUN.rk.hap2.012657
FUN.rk.hap1.012036	FUN.rk.hap2.012658
FUN.rk.hap1.012037	FUN.rk.hap2.012659
FUN.rk.hap1.012038	FUN.rk.hap2.012662
FUN.rk.hap1.012039	FUN.rk.hap2.012663
FUN.rk.hap1.012041	FUN.rk.hap2.012665
FUN.rk.hap1.012046	FUN.rk.hap2.012668
FUN.rk.hap1.012047	FUN.rk.hap2.012670
FUN.rk.hap1.012056	FUN.rk.hap2.012678
FUN.rk.hap1.012058	FUN.rk.hap2.012680
FUN.rk.hap1.012059	FUN.rk.hap2.012682
FUN.rk.hap1.012060	FUN.rk.hap2.012683
FUN.rk.hap1.012062	FUN.rk.hap2.012685
FUN.rk.hap1.012063	FUN.rk.hap2.012688
FUN.rk.hap1.012065	FUN.rk.hap2.012689
FUN.rk.hap1.012067	FUN.rk.hap2.012690
FUN.rk.hap1.012070	FUN.rk.hap2.012692
FUN.rk.hap1.012074	FUN.rk.hap2.012693
FUN.rk.hap1.012075	FUN.rk.hap2.012694
FUN.rk.hap1.012076	FUN.rk.hap2.012695
FUN.rk.hap1.012077	FUN.rk.hap2.012696
FUN.rk.hap1.012081	FUN.rk.hap2.018959
FUN.rk.hap1.012085	FUN.rk.hap2.012707
FUN.rk.hap1.012087	FUN.rk.hap2.012708
FUN.rk.hap1.012088	FUN.rk.hap2.012709
FUN.rk.hap1.012090	FUN.rk.hap2.012710
FUN.rk.hap1.012093	FUN.rk.hap2.012712
FUN.rk.hap1.012094	FUN.rk.hap2.012713
FUN.rk.hap1.012095	FUN.rk.hap2.012714
FUN.rk.hap1.012096	FUN.rk.hap2.012715
FUN.rk.hap1.012097	FUN.rk.hap2.012716
FUN.rk.hap1.012098	FUN.rk.hap2.012717
FUN.rk.hap1.012099	FUN.rk.hap2.012719
FUN.rk.hap1.012103	FUN.rk.hap2.015355
FUN.rk.hap1.012105	FUN.rk.hap2.012721
FUN.rk.hap1.012106	FUN.rk.hap2.012723
FUN.rk.hap1.012107	FUN.rk.hap2.012724
FUN.rk.hap1.012108	FUN.rk.hap2.012725
FUN.rk.hap1.012109	FUN.rk.hap2.012726
FUN.rk.hap1.012111	FUN.rk.hap2.012729
FUN.rk.hap1.012112	FUN.rk.hap2.012730
FUN.rk.hap1.012113	FUN.rk.hap2.012732
FUN.rk.hap1.012114	FUN.rk.hap2.012733
FUN.rk.hap1.012115	FUN.rk.hap2.012734
FUN.rk.hap1.012116	FUN.rk.hap2.012735
FUN.rk.hap1.012117	FUN.rk.hap2.012736
FUN.rk.hap1.012118	FUN.rk.hap2.012737
FUN.rk.hap1.012119	FUN.rk.hap2.012738
FUN.rk.hap1.012123	FUN.rk.hap2.012743
FUN.rk.hap1.012124	FUN.rk.hap2.012744
FUN.rk.hap1.012125	FUN.rk.hap2.012745
FUN.rk.hap1.012126	FUN.rk.hap2.012746
FUN.rk.hap1.012127	FUN.rk.hap2.012747
FUN.rk.hap1.012128	FUN.rk.hap2.012748
FUN.rk.hap1.012129	FUN.rk.hap2.012749
FUN.rk.hap1.012130	FUN.rk.hap2.012750
FUN.rk.hap1.012131	FUN.rk.hap2.012751
FUN.rk.hap1.012133	FUN.rk.hap2.012753
FUN.rk.hap1.012134	FUN.rk.hap2.012754
FUN.rk.hap1.012137	FUN.rk.hap2.012758
FUN.rk.hap1.012138	FUN.rk.hap2.012759
FUN.rk.hap1.012139	FUN.rk.hap2.012760
FUN.rk.hap1.012141	FUN.rk.hap2.012762
FUN.rk.hap1.012142	FUN.rk.hap2.012763
FUN.rk.hap1.012143	FUN.rk.hap2.012764
FUN.rk.hap1.012145	FUN.rk.hap2.012765
FUN.rk.hap1.012146	FUN.rk.hap2.012766
FUN.rk.hap1.012148	FUN.rk.hap2.012767
FUN.rk.hap1.012150	FUN.rk.hap2.012768
FUN.rk.hap1.012151	FUN.rk.hap2.012769
FUN.rk.hap1.012152	FUN.rk.hap2.012770
FUN.rk.hap1.012153	FUN.rk.hap2.012772
FUN.rk.hap1.012154	FUN.rk.hap2.012773
FUN.rk.hap1.012155	FUN.rk.hap2.012774
FUN.rk.hap1.012156	FUN.rk.hap2.012776
FUN.rk.hap1.012157	FUN.rk.hap2.012777
FUN.rk.hap1.012158	FUN.rk.hap2.012778
FUN.rk.hap1.012159	FUN.rk.hap2.012779
FUN.rk.hap1.012160	FUN.rk.hap2.012780
FUN.rk.hap1.012161	FUN.rk.hap2.012781
FUN.rk.hap1.012162	FUN.rk.hap2.012782
FUN.rk.hap1.012163	FUN.rk.hap2.012786
FUN.rk.hap1.012165	FUN.rk.hap2.012788
FUN.rk.hap1.012167	FUN.rk.hap2.012790
FUN.rk.hap1.012169	FUN.rk.hap2.012792
FUN.rk.hap1.012171	FUN.rk.hap2.012794
FUN.rk.hap1.012173	FUN.rk.hap2.012796
FUN.rk.hap1.012174	FUN.rk.hap2.012797
FUN.rk.hap1.012175	FUN.rk.hap2.012798
FUN.rk.hap1.012176	FUN.rk.hap2.012799
FUN.rk.hap1.012177	FUN.rk.hap2.012800
FUN.rk.hap1.012178	FUN.rk.hap2.012801
FUN.rk.hap1.012179	FUN.rk.hap2.012802
FUN.rk.hap1.012180	FUN.rk.hap2.012803
FUN.rk.hap1.012181	FUN.rk.hap2.012804
FUN.rk.hap1.012182	FUN.rk.hap2.012806
FUN.rk.hap1.012183	FUN.rk.hap2.012807
FUN.rk.hap1.012184	FUN.rk.hap2.012808
FUN.rk.hap1.012185	FUN.rk.hap2.012809
FUN.rk.hap1.012186	FUN.rk.hap2.012810
FUN.rk.hap1.012187	FUN.rk.hap2.012811
FUN.rk.hap1.012189	FUN.rk.hap2.012813
FUN.rk.hap1.012190	FUN.rk.hap2.012814
FUN.rk.hap1.012193	FUN.rk.hap2.012819
FUN.rk.hap1.012194	FUN.rk.hap2.012820
FUN.rk.hap1.012195	FUN.rk.hap2.012821
FUN.rk.hap1.012196	FUN.rk.hap2.012823
FUN.rk.hap1.012197	FUN.rk.hap2.012824
FUN.rk.hap1.012198	FUN.rk.hap2.012825
FUN.rk.hap1.012199	FUN.rk.hap2.012826
FUN.rk.hap1.012200	FUN.rk.hap2.012827
FUN.rk.hap1.012201	FUN.rk.hap2.012828
FUN.rk.hap1.012206	FUN.rk.hap2.012830
FUN.rk.hap1.012207	FUN.rk.hap2.012831
FUN.rk.hap1.012208	FUN.rk.hap2.012832
FUN.rk.hap1.012209	FUN.rk.hap2.012833
FUN.rk.hap1.012211	FUN.rk.hap2.012835
FUN.rk.hap1.012212	FUN.rk.hap2.012836
FUN.rk.hap1.012214	FUN.rk.hap2.012838
FUN.rk.hap1.012215	FUN.rk.hap2.012839
FUN.rk.hap1.012216	FUN.rk.hap2.012840
FUN.rk.hap1.012217	FUN.rk.hap2.012841
FUN.rk.hap1.012218	FUN.rk.hap2.012843
FUN.rk.hap1.012219	FUN.rk.hap2.012844
FUN.rk.hap1.012220	FUN.rk.hap2.012845
FUN.rk.hap1.012221	FUN.rk.hap2.012846
FUN.rk.hap1.012222	FUN.rk.hap2.012847
FUN.rk.hap1.012223	FUN.rk.hap2.012848
FUN.rk.hap1.012224	FUN.rk.hap2.012849
FUN.rk.hap1.012225	FUN.rk.hap2.012850
FUN.rk.hap1.012226	FUN.rk.hap2.012851
FUN.rk.hap1.012228	FUN.rk.hap2.012852
FUN.rk.hap1.012232	FUN.rk.hap2.012855
FUN.rk.hap1.012233	FUN.rk.hap2.012856
FUN.rk.hap1.012234	FUN.rk.hap2.012857
FUN.rk.hap1.012237	FUN.rk.hap2.012860
FUN.rk.hap1.012238	FUN.rk.hap2.012862
FUN.rk.hap1.012239	FUN.rk.hap2.012864
FUN.rk.hap1.012240	FUN.rk.hap2.012865
FUN.rk.hap1.012241	FUN.rk.hap2.012866
FUN.rk.hap1.012242	FUN.rk.hap2.012867
FUN.rk.hap1.012243	FUN.rk.hap2.012868
FUN.rk.hap1.012244	FUN.rk.hap2.012870
FUN.rk.hap1.012245	FUN.rk.hap2.012871
FUN.rk.hap1.012246	FUN.rk.hap2.012873
FUN.rk.hap1.012247	FUN.rk.hap2.012874
FUN.rk.hap1.012249	FUN.rk.hap2.012875
FUN.rk.hap1.012250	FUN.rk.hap2.012876
FUN.rk.hap1.012252	FUN.rk.hap2.012878
FUN.rk.hap1.012253	FUN.rk.hap2.012879
FUN.rk.hap1.012255	FUN.rk.hap2.012881
FUN.rk.hap1.012256	FUN.rk.hap2.012882
FUN.rk.hap1.012257	FUN.rk.hap2.012883
FUN.rk.hap1.012258	FUN.rk.hap2.012884
FUN.rk.hap1.012259	FUN.rk.hap2.012885
FUN.rk.hap1.012260	FUN.rk.hap2.012886
FUN.rk.hap1.012261	FUN.rk.hap2.012887
FUN.rk.hap1.012262	FUN.rk.hap2.012888
FUN.rk.hap1.012263	FUN.rk.hap2.012889
FUN.rk.hap1.012264	FUN.rk.hap2.012891
FUN.rk.hap1.012265	FUN.rk.hap2.012892
FUN.rk.hap1.012266	FUN.rk.hap2.012893
FUN.rk.hap1.012267	FUN.rk.hap2.012894
FUN.rk.hap1.012268	FUN.rk.hap2.012895
FUN.rk.hap1.012269	FUN.rk.hap2.012896
FUN.rk.hap1.012270	FUN.rk.hap2.012897
FUN.rk.hap1.012271	FUN.rk.hap2.012898
FUN.rk.hap1.012274	FUN.rk.hap2.012899
FUN.rk.hap1.012275	FUN.rk.hap2.012900
FUN.rk.hap1.012276	FUN.rk.hap2.012901
FUN.rk.hap1.012277	FUN.rk.hap2.012902
FUN.rk.hap1.012278	FUN.rk.hap2.012903
FUN.rk.hap1.012279	FUN.rk.hap2.012904
FUN.rk.hap1.012280	FUN.rk.hap2.012906
FUN.rk.hap1.012281	FUN.rk.hap2.012910
FUN.rk.hap1.012282	FUN.rk.hap2.012912
FUN.rk.hap1.012283	FUN.rk.hap2.025432
FUN.rk.hap1.012285	FUN.rk.hap2.012919
FUN.rk.hap1.012286	FUN.rk.hap2.012920
FUN.rk.hap1.012287	FUN.rk.hap2.012922
FUN.rk.hap1.012288	FUN.rk.hap2.012923
FUN.rk.hap1.012289	FUN.rk.hap2.012924
FUN.rk.hap1.012291	FUN.rk.hap2.012925
FUN.rk.hap1.012292	FUN.rk.hap2.012926
FUN.rk.hap1.012293	FUN.rk.hap2.012927
FUN.rk.hap1.012294	FUN.rk.hap2.012928
FUN.rk.hap1.012295	FUN.rk.hap2.012930
FUN.rk.hap1.012296	FUN.rk.hap2.012931
FUN.rk.hap1.012297	FUN.rk.hap2.012932
FUN.rk.hap1.012298	FUN.rk.hap2.012933
FUN.rk.hap1.012299	FUN.rk.hap2.012934
FUN.rk.hap1.012300	FUN.rk.hap2.012935
FUN.rk.hap1.012301	FUN.rk.hap2.012936
FUN.rk.hap1.012302	FUN.rk.hap2.012937
FUN.rk.hap1.012303	FUN.rk.hap2.012939
FUN.rk.hap1.012304	FUN.rk.hap2.012940
FUN.rk.hap1.012305	FUN.rk.hap2.012942
FUN.rk.hap1.012306	FUN.rk.hap2.012943
FUN.rk.hap1.012307	FUN.rk.hap2.012944
FUN.rk.hap1.012308	FUN.rk.hap2.012945
FUN.rk.hap1.012309	FUN.rk.hap2.012946
FUN.rk.hap1.012310	FUN.rk.hap2.012947
FUN.rk.hap1.012317	FUN.rk.hap2.012952
FUN.rk.hap1.012319	FUN.rk.hap2.012953
FUN.rk.hap1.012320	FUN.rk.hap2.012954
FUN.rk.hap1.012322	FUN.rk.hap2.012956
FUN.rk.hap1.012323	FUN.rk.hap2.012957
FUN.rk.hap1.012326	FUN.rk.hap2.012967
FUN.rk.hap1.012327	FUN.rk.hap2.012968
FUN.rk.hap1.012328	FUN.rk.hap2.012969
FUN.rk.hap1.012329	FUN.rk.hap2.012970
FUN.rk.hap1.012330	FUN.rk.hap2.012971
FUN.rk.hap1.012335	FUN.rk.hap2.012976
FUN.rk.hap1.012336	FUN.rk.hap2.012977
FUN.rk.hap1.012337	FUN.rk.hap2.012979
FUN.rk.hap1.012340	FUN.rk.hap2.012980
FUN.rk.hap1.012344	FUN.rk.hap2.012974
FUN.rk.hap1.012348	FUN.rk.hap2.012984
FUN.rk.hap1.012349	FUN.rk.hap2.012985
FUN.rk.hap1.012352	FUN.rk.hap2.012988
FUN.rk.hap1.012353	FUN.rk.hap2.012989
FUN.rk.hap1.012356	FUN.rk.hap2.012994
FUN.rk.hap1.012357	FUN.rk.hap2.012995
FUN.rk.hap1.012363	FUN.rk.hap2.013003
FUN.rk.hap1.012364	FUN.rk.hap2.013005
FUN.rk.hap1.012365	FUN.rk.hap2.013006
FUN.rk.hap1.012366	FUN.rk.hap2.013007
FUN.rk.hap1.012367	FUN.rk.hap2.013008
FUN.rk.hap1.012368	FUN.rk.hap2.013011
FUN.rk.hap1.012369	FUN.rk.hap2.013012
FUN.rk.hap1.012372	FUN.rk.hap2.013016
FUN.rk.hap1.012376	FUN.rk.hap2.013019
FUN.rk.hap1.012377	FUN.rk.hap2.013020
FUN.rk.hap1.012378	FUN.rk.hap2.013021
FUN.rk.hap1.012379	FUN.rk.hap2.013022
FUN.rk.hap1.012381	FUN.rk.hap2.013024
FUN.rk.hap1.012382	FUN.rk.hap2.013025
FUN.rk.hap1.012384	FUN.rk.hap2.013027
FUN.rk.hap1.012385	FUN.rk.hap2.013029
FUN.rk.hap1.012386	FUN.rk.hap2.013030
FUN.rk.hap1.012387	FUN.rk.hap2.013031
FUN.rk.hap1.012388	FUN.rk.hap2.013032
FUN.rk.hap1.012390	FUN.rk.hap2.013033
FUN.rk.hap1.012391	FUN.rk.hap2.013034
FUN.rk.hap1.012392	FUN.rk.hap2.013035
FUN.rk.hap1.012393	FUN.rk.hap2.013036
FUN.rk.hap1.012396	FUN.rk.hap2.013043
FUN.rk.hap1.012397	FUN.rk.hap2.013044
FUN.rk.hap1.012398	FUN.rk.hap2.013045
FUN.rk.hap1.012401	FUN.rk.hap2.013048
FUN.rk.hap1.012402	FUN.rk.hap2.013049
FUN.rk.hap1.012403	FUN.rk.hap2.013050
FUN.rk.hap1.012404	FUN.rk.hap2.013051
FUN.rk.hap1.012405	FUN.rk.hap2.013052
FUN.rk.hap1.012406	FUN.rk.hap2.013053
FUN.rk.hap1.012407	FUN.rk.hap2.013054
FUN.rk.hap1.012408	FUN.rk.hap2.013056
FUN.rk.hap1.012410	FUN.rk.hap2.013058
FUN.rk.hap1.012411	FUN.rk.hap2.013059
FUN.rk.hap1.012412	FUN.rk.hap2.013060
FUN.rk.hap1.012413	FUN.rk.hap2.013061
FUN.rk.hap1.012414	FUN.rk.hap2.013062
FUN.rk.hap1.012415	FUN.rk.hap2.013063
FUN.rk.hap1.012416	FUN.rk.hap2.013065
FUN.rk.hap1.012417	FUN.rk.hap2.013066
FUN.rk.hap1.012418	FUN.rk.hap2.013067
FUN.rk.hap1.012419	FUN.rk.hap2.013068
FUN.rk.hap1.012420	FUN.rk.hap2.013069
FUN.rk.hap1.012421	FUN.rk.hap2.013070
FUN.rk.hap1.012422	FUN.rk.hap2.013072
FUN.rk.hap1.012424	FUN.rk.hap2.013074
FUN.rk.hap1.012425	FUN.rk.hap2.013075
FUN.rk.hap1.012426	FUN.rk.hap2.013076
FUN.rk.hap1.012427	FUN.rk.hap2.013077
FUN.rk.hap1.012428	FUN.rk.hap2.013078
FUN.rk.hap1.012430	FUN.rk.hap2.013081
FUN.rk.hap1.012431	FUN.rk.hap2.013082
FUN.rk.hap1.012432	FUN.rk.hap2.013083
FUN.rk.hap1.012436	FUN.rk.hap2.032893
FUN.rk.hap1.012437	FUN.rk.hap2.013084
FUN.rk.hap1.012438	FUN.rk.hap2.013085
FUN.rk.hap1.012440	FUN.rk.hap2.013086
FUN.rk.hap1.012441	FUN.rk.hap2.013087
FUN.rk.hap1.012442	FUN.rk.hap2.013088
FUN.rk.hap1.012443	FUN.rk.hap2.013089
FUN.rk.hap1.012444	FUN.rk.hap2.013090
FUN.rk.hap1.012445	FUN.rk.hap2.013091
